34, Average,3, tnguye99, insert, replace, delete delete delete delete, insert, delete replace replace, replace, insert replace, replace, insert insert insert, replace, delete delete delete delete delete, insert, replace, delete delete delete delete replace, insert, replace, insert, replace, replace replace replace, replace, insert, delete, replace, replace replace, delete, insert, replace, delete, replace, delete, insert replace, delete, insert, replace, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
216, Median,4, mtu7, replace, insert replace, replace, insert insert insert replace, delete delete delete replace replace, replace replace, insert insert replace, insert, replace replace replace replace replace, delete insert insert insert insert, delete delete delete delete delete delete delete replace, replace, insert insert insert insert replace, replace replace replace replace replace, insert, delete delete delete delete replace, replace, insert replace replace, replace replace, replace, replace replace, delete replace, insert replace, delete replace, replace, insert replace replace, replace replace, insert replace replace, replace, delete, insert insert, insert, delete delete delete delete delete, replace, replace replace, replace, replace replace, replace, delete insert insert, replace, insert insert, replace, delete delete replace replace replace, delete delete replace, replace replace, insert, replace, insert, replace, delete delete replace, insert, delete delete delete delete delete, insert, replace, delete replace, replace, insert, delete delete delete delete delete, insert, replace, delete delete delete, insert, delete delete delete replace, insert, replace replace replace, delete replace replace replace, replace, replace replace replace, insert replace, replace replace, replace, insert insert replace replace replace, replace replace replace replace replace replace, delete delete delete replace replace, replace, insert, delete replace, insert, insert insert, delete replace replace replace replace, insert, replace, delete delete replace replace replace, replace, delete replace, insert, replace, replace replace replace, replace, replace replace, replace, replace replace replace, replace, replace replace, replace, replace replace, replace, delete replace, replace, insert, replace replace, replace, replace replace, replace, delete delete, replace, replace replace, insert insert, replace, replace replace, replace, delete delete, insert insert, replace replace, replace, replace replace replace, replace, replace replace, replace, replace replace, replace, replace replace, replace, replace replace, replace, replace replace, replace, insert insert insert replace replace replace replace, insert, insert insert insert insert, delete delete delete delete delete delete delete delete delete delete replace replace, insert, replace, insert replace, replace, replace replace, replace, replace replace, replace, replace replace, replace, delete, insert, replace, insert insert, replace, insert, replace replace replace replace, replace, delete replace replace, delete, replace, delete replace, insert, delete replace, insert replace, replace, replace replace, replace, insert insert, replace, replace replace, replace, replace replace, insert, replace, insert, delete, insert, delete delete replace replace replace replace replace replace, delete delete delete replace replace, insert, replace replace, replace, delete replace replace, insert, replace, insert insert, delete delete delete delete delete delete replace replace, replace, insert replace, delete, replace, insert insert, replace, insert replace, insert, insert insert replace replace replace, delete delete delete delete, replace, insert insert replace replace replace, replace, replace replace, replace, replace replace, replace, delete delete delete replace, insert, replace replace, insert insert replace replace replace replace, replace replace replace replace replace replace, replace, replace replace replace, replace, delete replace replace replace replace, insert, delete replace replace replace replace replace, replace, insert replace replace replace replace, delete delete replace replace replace replace, replace replace, replace, replace replace replace replace, replace, delete replace, replace, 
138, Median,2, srockhil, insert, delete, insert insert, insert, replace, delete delete delete delete delete, insert, insert insert, delete, insert, delete delete delete delete delete delete replace, replace, insert, delete delete delete delete, insert, delete delete delete delete replace, insert, delete delete delete delete delete delete delete replace, insert, replace, insert, delete delete delete delete delete replace, insert, insert insert, delete, insert insert, insert, delete delete delete delete delete delete delete delete delete delete delete replace, delete, insert, delete delete delete delete replace, delete, insert, delete replace, insert, delete delete replace, replace, insert, replace, delete replace replace, insert, replace, insert, replace, delete, insert, replace, insert, replace, delete delete delete, insert, replace, insert, replace, insert, replace, delete, replace, replace replace, replace, insert, replace, insert, replace, delete delete delete delete replace replace, insert insert, delete, insert, replace, insert insert, replace, insert, delete delete delete delete delete replace, insert insert, replace, delete delete replace, insert insert, replace replace, insert insert, insert insert insert, delete delete delete delete delete delete replace, replace, delete delete, insert, replace, insert replace, replace, replace replace, replace, insert, replace, delete delete delete delete replace, insert, delete, insert, replace, delete delete, replace, insert, delete delete replace replace, insert insert, replace, replace replace, insert, replace, delete delete delete replace replace, insert, replace, insert, replace, delete delete replace, delete, insert replace, insert, replace, delete delete delete replace replace, insert insert, insert, replace, delete replace, replace, insert, replace, replace replace, replace, replace replace, replace, insert, replace, delete delete replace, replace, replace replace replace replace, replace, replace replace, replace, replace replace, replace replace replace, replace, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93, Median,3, qhan3, replace, insert, replace, replace replace, delete, insert, replace, insert, replace, delete replace replace, replace, replace replace, replace, replace replace, replace, insert replace, delete, replace, insert replace, replace, replace replace replace, replace, replace replace, delete replace replace, insert, replace, delete, insert, replace, delete replace replace, replace replace, insert, replace, delete delete, insert, replace, insert, delete delete delete delete replace replace, replace, insert, replace, delete, insert, replace, delete replace, insert, replace, insert, delete replace, replace, delete replace, insert, replace, insert replace, replace, delete, insert, replace, delete, insert, replace, delete replace, delete, insert, replace, delete replace, delete, replace, replace replace, insert, replace, delete replace, replace, replace replace replace, replace, insert, replace, delete replace replace, insert, insert insert insert, delete delete delete, insert, replace, delete replace, insert, replace, delete delete delete, insert, replace, delete delete replace replace replace, replace, insert, replace, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57, Median,4, mmeyerso, replace, insert, replace, delete replace replace, replace, replace replace, replace replace replace, replace, replace replace, replace, replace replace, replace, insert replace, replace, delete replace, insert, replace, replace replace, replace, replace replace, replace, replace replace, replace, insert, replace, replace replace replace, replace, delete, delete delete, insert, replace, delete replace replace, replace, insert insert, replace, delete delete replace replace, replace, insert, replace, insert, delete delete replace, insert, replace, insert, replace, replace replace, replace, delete delete delete, insert, insert replace, insert, insert insert, delete, insert insert, replace, delete, replace replace replace replace replace, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51, Median,4, akim112, replace, insert replace, replace, insert replace, replace, replace replace, replace, delete replace, replace, replace replace, replace, insert, replace, delete delete, replace, insert, replace, insert replace, replace, delete replace, replace, insert, replace, insert, delete delete, replace, insert, replace, insert, replace, delete, replace, insert, replace, insert replace, replace, replace replace, replace, replace replace, replace, delete delete delete delete, replace, insert replace, replace, replace replace, replace, insert insert insert replace replace, replace, delete delete delete, insert replace, replace, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33, Median,4, agoldb10, replace, insert replace, replace, replace replace, replace, replace replace, replace, replace replace, replace, insert replace replace, replace, replace replace, replace, replace replace, replace, replace replace, replace, replace replace, replace, replace replace replace, replace, replace replace replace, replace, replace replace, replace, replace replace, replace, replace replace replace, replace, replace replace replace, replace, insert, replace, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28, Median,4, rfuller1, replace, replace replace, replace, delete delete replace, insert insert, delete replace, replace, delete replace, insert, replace, insert replace, delete replace, replace, replace replace, insert, replace, delete, insert, replace, replace replace replace, replace, replace replace, replace, insert insert replace replace, replace, delete delete replace replace, replace, insert, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26, Median,2, mtavukcu, replace, insert replace, replace, insert insert replace, insert insert insert insert insert insert insert insert replace replace replace, delete delete delete delete delete delete delete delete delete replace replace, replace, delete replace, replace, insert, replace, insert replace, replace, delete replace replace, replace, delete delete, insert insert, insert insert insert, delete delete replace, replace, delete delete delete replace, insert, replace, insert, replace, insert, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24, Median,4, ading6, replace, insert replace, replace, replace replace, replace, delete replace, insert replace, replace, insert, replace, insert replace, replace, delete replace replace, replace, delete, replace, insert, replace, replace replace, replace, insert replace, replace, replace replace, insert replace replace, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23, Median,4, sgupta46, replace, insert replace, insert, insert insert, delete delete replace replace, delete replace, insert, delete delete, replace replace, insert, delete delete delete replace, insert, insert insert, delete delete delete replace replace replace, delete delete, insert, insert insert, delete delete delete, delete delete, insert, delete delete delete, replace replace, insert, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21, Median,4, ksachan, replace, insert insert, insert, replace replace replace, insert replace replace replace replace, replace, delete replace, insert replace replace, replace replace replace, delete insert, replace replace replace replace, delete replace replace replace, replace replace replace, insert insert, delete delete replace replace replace, replace replace, insert, replace, delete delete delete replace, insert insert, replace replace, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20, Median,4, jidehen, delete, insert replace, insert replace replace, replace, delete delete, replace, insert, replace, delete, insert, delete delete replace, insert, replace, insert replace replace replace replace, insert, insert insert, delete delete delete delete delete delete replace, insert insert, delete replace replace, insert insert, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19, Median,4, msiff, replace, insert, insert replace, replace replace, replace replace replace, replace, replace replace replace, replace, delete replace replace, replace, insert insert, insert, delete replace, delete delete replace replace replace, insert insert insert insert insert insert replace replace, delete delete, replace replace, delete delete delete replace replace replace, replace, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18, Median,2, emadsen, insert, delete delete, replace, replace replace, replace, insert replace replace, replace, replace replace, insert replace replace, delete replace replace, replace, replace replace, replace, replace replace replace, insert, replace, replace replace replace, replace, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17, Median,4, scho31, replace, replace replace, delete delete delete replace, insert, replace, insert replace replace, replace, insert, delete delete delete delete, replace, insert, replace, insert replace replace, replace, insert, replace, insert, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17, Median,2, zmothner, replace, insert replace, replace, insert, delete replace, insert, replace, delete, replace, delete, replace replace, insert, replace, delete replace, insert replace, replace, insert, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16, Median,4, cchrabas, replace, insert replace, replace, insert replace, replace replace, delete delete replace, insert, delete delete delete delete replace, insert, replace, delete delete delete replace, replace, insert, delete delete delete delete replace replace, replace, replace replace replace, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15, Median,4, vkalev, delete, insert, replace, insert replace, delete, replace, insert replace, replace, insert replace, insert, delete delete delete delete replace, replace, replace replace replace, delete, insert insert replace replace, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13, Median,4, jgong15, replace, replace replace replace, insert replace, replace, delete, insert, replace, insert, delete delete replace, replace replace, replace, insert insert insert insert, insert, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13, Median,3, bnschust, insert, delete delete delete delete, insert, delete replace replace replace, insert, delete replace, insert, delete delete delete replace, insert, delete delete delete replace, insert, delete replace replace, replace, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12, Median,4, qwei3, insert, delete delete delete replace, insert, replace, insert replace, delete delete delete replace, insert, insert insert insert, delete insert, insert, delete delete delete delete delete replace, insert, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12, Median,4, wbuerger, replace, insert, replace, insert replace, replace, delete, delete replace, insert, insert replace replace replace, insert, delete, replace, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12, Median,2, jsarria, replace, insert insert, delete, delete replace replace, insert, replace replace replace replace, delete replace, replace, insert, replace, replace replace, replace replace replace replace, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10, Median,4, mlunghi, insert, delete delete delete delete delete delete delete delete, replace, insert replace, delete replace, insert, replace, insert replace replace, replace, replace replace, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10, Median,3, nkeirste, replace, insert replace, insert, insert insert, insert, delete delete delete delete delete replace, insert insert, replace replace replace, insert, replace replace replace, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9, Median,4, dkhullar, replace replace, replace, delete replace, insert replace, replace, insert, delete delete delete replace, replace replace, insert replace replace, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8, Median,4, dli72, replace, insert, replace, delete, replace, insert insert insert insert insert, replace, replace replace replace replace, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8, Median,4, mkimurat, replace, replace replace, replace, replace replace, replace replace replace, replace, insert insert insert replace replace replace, delete, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8, Median,4, ojohnso3, delete delete delete delete delete delete delete delete replace, replace, insert insert replace, delete delete replace, insert insert, replace replace replace, insert, replace replace replace replace, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8, Median,4, asdrury, insert, delete replace replace replace, delete replace replace, insert insert replace replace, delete delete, replace replace, replace replace replace, replace replace, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8, Median,3, mghani1, replace, replace replace, replace, replace replace, replace, replace replace replace, replace replace, replace, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8, Median,3, chrblank@iu.edu, insert, delete delete delete, delete, insert insert insert insert insert, insert, delete delete delete delete replace, replace replace, replace replace replace, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8, Median,2, amlindqu, replace, insert replace, replace, replace replace, replace, delete replace, insert, replace, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7, Median,2, iilozor, insert, delete delete replace replace, replace replace, insert, delete delete replace replace, insert, replace, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7, Median,2, bsilverm, replace, insert, replace, insert, delete delete delete replace, insert, delete delete replace replace replace, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7, Median,2, sboughan, replace, insert replace, replace, insert replace, replace replace, delete, replace replace, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6, Median,4, jadkl, insert, replace, delete replace, insert, replace replace, replace, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6, Median,4, sbawabe, delete delete replace, replace, replace replace replace, replace replace, insert, replace replace, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6, Median,3, eadelacr, insert, delete delete replace replace, replace, replace replace replace, replace, replace replace, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5, Median,4, jnieto, insert, replace, insert, delete replace, insert, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5, Median,4, sli96, insert insert insert, delete delete replace, insert insert insert insert insert insert replace, delete replace replace replace replace replace replace replace, delete delete delete delete replace replace, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4, Median,4, mmo4, replace, insert replace, delete replace replace replace, insert, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
